id,contest_id,p_idol_id,vocal%,dance%,visual%,hp,p_item_ids,card_ids,sample size,min,max,mean,stdevp,q1,q2,q3,owner
1,240804:0,30301,386,2251,2228,45,4240811:2303010:3300010:3300030,4203011:2012041:2022070:3012051:3022060:3022100_4203011:2012040:2022010:2022070:4022011:4022060,100,4873,14869,10240,1898,9044,10319,11422,かふぇもっと
2,240804:0,30401,430,2129,2247,46,4240811:2304010:3300090:3300010,4204011:4300061:2011061:2011070:3021050:4011031_4204021:2011011:2011030:3011071:3021051:4021020,100,12051,30785,20177,3581,18255,20094,22566,かふぇもっと
3,240804:1,30701,364,2204,2233,45,4240812:2307010:3300010:3300090,4207011:2011010:2021041:3011071:3021051:4011051_3207011:2011011:2011051:2011061:3021051:4021021,100,13510,35310,23971,4415,20502,23306,26909,かふぇもっと
4,240804:1,30902,391,2153,2278,43,4240812:2309020:3300010:3300090,4209021:2011010:2021041:3011071:3021051:4021021_4209021:3011081:3021081:4011051::,100,7856,48452,28397,8713,22446,27964,33440,かふぇもっと
5,240804:2,30801,499,2241,2066,40,4240813:2308010:3300010:3300090,4208011:2012021:2012051:3022061:3022080:3022110_4208011:2012051:2022020:3012021:3012031:3022061,100,12982,29637,20515,3689,18135,20072,22262,かふぇもっと
6,240804:2,30102,356,2297,2177,46,4240813:2301020:3300010:3300090,4201021:2012041:2022010:3012050:4012041:4022060_4201031:2012041:2022070:3022100:3022110:4022010,100,10965,32244,21581,4380,18392,21045,24330,かふぇもっと
7,240804:1,20201,545,2091,2037,50,4240812:2202011:3300010:3300090,3202011:2011051:2021010:3011071:3021051:4021021_4202011:3011081:3021051:4011051::,30,17589,37994,27141,,,26904,,幻一郎さん
8,240804:1,30401,447,2243,2176,48,4240812:2304011:3300010:3300090,4204011:2011030:2011040:3021051:4021010:4021021_4204021:2011020:2011051:3011081:3021051:4011031,30,18080,38433,27301,,,28089,,幻一郎さん
9,240804:1,30902,349,2253,2225,45,4240812:2309020:3300010:3300090,4209021:2011020:2021041:3021051:3021081:4021021_4209021:3011071:3011081:4011051::,30,20243,44361,28749,,,27551,,みんさん
